Message Length	Latency		Bandwidth
10		0.774ms	0.023MB/s
20		0.584ms	0.048MB/s
30		0.488ms	0.078MB/s
40		0.516ms	0.093MB/s
50		0.556ms	0.104MB/s
60		0.546ms	0.125MB/s
70		0.942ms	0.083MB/s
80		0.666ms	0.132MB/s
100		0.587ms	0.184MB/s
120		0.611ms	0.209MB/s
140		1.202ms	0.123MB/s
160		0.739ms	0.227MB/s
200		0.568ms	0.366MB/s
240		0.670ms	0.370MB/s
280		0.878ms	0.328MB/s
320		0.543ms	0.604MB/s
400		0.764ms	0.534MB/s
480		0.672ms	0.726MB/s
560		0.755ms	0.752MB/s
640		0.529ms	1.225MB/s
800		0.553ms	1.461MB/s
960		0.647ms	1.496MB/s
1120		0.609ms	1.852MB/s
1280		0.594ms	2.168MB/s
1600		0.823ms	1.954MB/s
1920		0.786ms	2.453MB/s
2240		1.205ms	1.866MB/s
2560		0.607ms	4.231MB/s
3200		0.595ms	5.392MB/s
3840		0.543ms	7.087MB/s
4480		0.650ms	6.905MB/s
5120		0.559ms	9.174MB/s
6400		1.228ms	5.218MB/s
7680		0.607ms	12.666MB/s
8960		0.658ms	13.629MB/s
10240		0.849ms	12.071MB/s
12800		0.582ms	22.007MB/s
15360		0.644ms	23.863MB/s
17920		0.576ms	31.125MB/s
20480		0.667ms	30.717MB/s
25600		1.458ms	17.564MB/s
30720		0.687ms	44.728MB/s
35840		0.662ms	54.151MB/s
40960		0.775ms	52.862MB/s
51200		1.489ms	34.391MB/s
61440		1.437ms	42.761MB/s
71680		1.524ms	47.039MB/s
81920		1.958ms	41.843MB/s
102400		1.554ms	65.900MB/s
122880		2.558ms	48.041MB/s
143360		2.343ms	61.190MB/s
163840		3.271ms	50.091MB/s
204800		2.575ms	79.537MB/s
245760		3.382ms	72.669MB/s
286720		3.329ms	86.130MB/s
327680		5.761ms	56.880MB/s
409600		5.115ms	80.080MB/s
491520		5.403ms	90.973MB/s
573440		9.378ms	61.148MB/s
655360		10.835ms	60.486MB/s
819200		12.449ms	65.805MB/s
983040		17.035ms	57.708MB/s
1146880		17.507ms	65.510MB/s
1310720		22.196ms	59.052MB/s
1638400		24.090ms	68.012MB/s
1966080		28.258ms	69.576MB/s
2293760		32.888ms	69.745MB/s
2621440		34.856ms	75.208MB/s
3276800		46.065ms	71.134MB/s
3932160		52.110ms	75.459MB/s
4587520		61.147ms	75.025MB/s
5242880		68.956ms	76.032MB/s
6553600		88.748ms	73.845MB/s
7864320		106.921ms	73.553MB/s
9175040		126.575ms	72.487MB/s
10485760		143.931ms	72.853MB/s
