Message Length	Latency		Bandwidth
10		36.783ms	0.000MB/s
20		40.006ms	0.001MB/s
30		39.983ms	0.001MB/s
40		40.196ms	0.001MB/s
50		39.995ms	0.001MB/s
60		39.996ms	0.002MB/s
70		40.209ms	0.002MB/s
80		39.984ms	0.002MB/s
100		39.996ms	0.003MB/s
120		39.996ms	0.003MB/s
140		39.996ms	0.004MB/s
160		39.996ms	0.004MB/s
200		39.996ms	0.005MB/s
240		39.996ms	0.006MB/s
280		39.996ms	0.007MB/s
320		39.996ms	0.008MB/s
400		39.996ms	0.010MB/s
480		39.996ms	0.012MB/s
560		40.196ms	0.014MB/s
640		39.996ms	0.016MB/s
800		39.996ms	0.020MB/s
960		40.596ms	0.024MB/s
1120		39.996ms	0.028MB/s
1280		40.008ms	0.032MB/s
1600		39.983ms	0.040MB/s
1920		39.996ms	0.048MB/s
2240		39.996ms	0.056MB/s
2560		39.996ms	0.064MB/s
3200		39.995ms	0.080MB/s
3840		39.996ms	0.096MB/s
4480		39.995ms	0.112MB/s
5120		39.996ms	0.128MB/s
6400		39.996ms	0.160MB/s
7680		39.996ms	0.192MB/s
8960		40.197ms	0.223MB/s
10240		40.994ms	0.250MB/s
12800		39.997ms	0.320MB/s
15360		40.395ms	0.380MB/s
17920		20.197ms	0.888MB/s
20480		13.395ms	1.530MB/s
25600		22.996ms	1.114MB/s
30720		21.396ms	1.436MB/s
35840		23.596ms	1.519MB/s
40960		23.596ms	1.736MB/s
51200		24.196ms	2.116MB/s
61440		25.796ms	2.382MB/s
71680		25.595ms	2.801MB/s
81920		28.995ms	2.826MB/s
102400		33.195ms	3.085MB/s
122880		33.607ms	3.657MB/s
143360		42.390ms	3.382MB/s
163840		34.995ms	4.682MB/s
204800		44.776ms	4.574MB/s
245760		49.793ms	4.936MB/s
286720		58.585ms	4.894MB/s
327680		52.403ms	6.253MB/s
409600		60.969ms	6.718MB/s
491520		88.800ms	5.535MB/s
573440		75.597ms	7.586MB/s
655360		95.341ms	6.874MB/s
819200		101.580ms	8.065MB/s
983040		128.350ms	7.659MB/s
1146880		136.954ms	8.374MB/s
1310720		164.549ms	7.966MB/s
1638400		197.153ms	8.310MB/s
1966080		216.201ms	9.094MB/s
2293760		249.454ms	9.195MB/s
2621440		291.513ms	8.993MB/s
3276800		355.137ms	9.227MB/s
3932160		444.166ms	8.853MB/s
4587520		509.028ms	9.012MB/s
5242880		568.368ms	9.224MB/s
6553600		711.283ms	9.214MB/s
7864320		901.411ms	8.724MB/s
9175040		1019.976ms	8.995MB/s
10485760		1133.181ms	9.253MB/s
