Message Length	Latency		Bandwidth
10		0.728ms	0.025MB/s
20		0.533ms	0.053MB/s
30		0.534ms	0.071MB/s
40		0.564ms	0.085MB/s
50		0.537ms	0.108MB/s
60		0.587ms	0.116MB/s
70		0.589ms	0.132MB/s
80		0.577ms	0.153MB/s
100		0.693ms	0.156MB/s
120		0.536ms	0.239MB/s
140		0.626ms	0.236MB/s
160		0.538ms	0.312MB/s
200		0.568ms	0.366MB/s
240		0.545ms	0.455MB/s
280		0.593ms	0.486MB/s
320		0.596ms	0.550MB/s
400		0.572ms	0.713MB/s
480		0.544ms	0.897MB/s
560		0.549ms	1.035MB/s
640		0.534ms	1.213MB/s
800		0.611ms	1.322MB/s
960		0.540ms	1.793MB/s
1120		0.833ms	1.354MB/s
1280		0.710ms	1.814MB/s
1600		0.596ms	2.698MB/s
1920		0.743ms	2.595MB/s
2240		0.542ms	4.148MB/s
2560		0.567ms	4.529MB/s
3200		0.620ms	5.174MB/s
3840		0.601ms	6.403MB/s
4480		0.565ms	7.943MB/s
5120		0.673ms	7.620MB/s
6400		0.595ms	10.770MB/s
7680		0.699ms	10.999MB/s
8960		0.548ms	16.365MB/s
10240		0.614ms	16.691MB/s
12800		0.549ms	23.330MB/s
15360		0.631ms	24.355MB/s
17920		1.225ms	14.635MB/s
20480		0.939ms	21.819MB/s
25600		1.813ms	14.125MB/s
30720		1.707ms	18.001MB/s
35840		0.876ms	40.922MB/s
40960		0.950ms	43.124MB/s
51200		1.527ms	33.535MB/s
61440		3.165ms	19.415MB/s
71680		1.597ms	44.889MB/s
81920		1.719ms	47.660MB/s
102400		1.850ms	55.356MB/s
122880		2.263ms	54.303MB/s
143360		5.657ms	25.343MB/s
163840		3.763ms	43.542MB/s
204800		3.393ms	60.362MB/s
245760		4.823ms	50.957MB/s
286720		5.082ms	56.420MB/s
327680		4.880ms	67.149MB/s
409600		6.193ms	66.140MB/s
491520		6.759ms	72.722MB/s
573440		11.674ms	49.122MB/s
655360		13.187ms	49.698MB/s
819200		15.386ms	53.244MB/s
983040		18.838ms	52.184MB/s
1146880		17.864ms	64.201MB/s
1310720		21.300ms	61.537MB/s
1638400		25.645ms	63.888MB/s
1966080		29.848ms	65.870MB/s
2293760		40.327ms	56.879MB/s
2621440		44.284ms	59.196MB/s
3276800		51.451ms	63.688MB/s
3932160		57.714ms	68.132MB/s
4587520		66.478ms	69.008MB/s
5242880		83.054ms	63.126MB/s
6553600		98.766ms	66.355MB/s
7864320		117.374ms	67.002MB/s
9175040		139.082ms	65.969MB/s
10485760		150.293ms	69.769MB/s
